沸;フツ;わ.く,わ.かす;seethe, boil, ferment, uproar, breed
仏;ブツ,フツ;ほとけ;Buddha, the dead, France
粉;フン;デシメートル,こ,こな;flour, powder, dust
兵;ヘイ,ヒョウ;つわもの;soldier, private, troops, army, warfare, strategy, tactics
並;ヘイ,ホウ;な.み,なら.べる,なら.ぶ,なら.びに;row, and, besides, as well as, line up, rank with, rival, equal
片;ヘン;かた-,かた;one-sided, leaf, sheet, right-side kata radical (no. 91)
編;ヘン;あ.む,-あ.み;compilation, knit, plait, braid, twist, editing, completed poem, part of a book
辺;ヘン;あた.り,ほと.り,-べ;environs, boundary, border, vicinity
補;ホ;おぎな.う;supplement, supply, make good, offset, compensate, assistant, learner
募;ボ;つの.る;recruit, campaign, gather (contributions), enlist, grow violent
包;ホウ;つつ.む,くる.む;wrap, pack up, cover, conceal
宝;ホウ;たから;treasure, wealth, valuables
豊;ホウ,ブ;ゆた.か,とよ;bountiful, excellent, rich
帽;ボウ,モウ;ずきん,おお.う;cap, headgear
暴;ボウ,バク;あば.く,あば.れる;outburst, rave, fret, force, violence, cruelty, outrage
棒;ボウ;;rod, stick, cane, pole, club, line
貿;ボウ;;trade, exchange
防;ボウ;ふせ.ぐ;ward off, defend, protect, resist
磨;マ;みが.く,す.る;grind, polish, scour, improve, brush (teeth)
埋;マイ;う.める,う.まる,う.もれる,うず.める,うず.まる,い.ける;bury, be filled up, embedded
枚;マイ,バイ;;sheet of..., counter for flat thin objects or sheets
綿;メン;わた;cotton
毛;モウ;け;fur, hair, feather, down
門;モン;かど,と;gate, counter for cannons
油;ユ,ユウ;あぶら;oil, fat
輸;ユ,シュ;;transport, send, be inferior
勇;ユウ;いさ.む;courage, cheer up, be in high spirits, bravery, heroism
郵;ユウ;;mail, stagecoach stop
預;ヨ;あず.ける,あず.かる;deposit, custody, leave with, entrust to
幼;ヨウ;おさな.い;infancy, childhood
溶;ヨウ;と.ける,と.かす,と.く;melt, dissolve, thaw
踊;ヨウ;おど.る;jump, dance, leap, skip
浴;ヨク;あ.びる,あ.びせる;bathe, be favored with, bask in
翌;ヨク;;the following, next
絡;ラク;から.む,から.まる;entwine, coil around, get caught in
乱;ラン,ロン;みだ.れる,みだ.る,みだ.す,みだ,おさ.める,わた.る;riot, war, disorder, disturb
卵;ラン;たまご;egg, ovum, spawn, roe
裏;リ;うら;back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side
陸;リク,ロク;おか;land, six
律;リツ,リチ,レツ;;rhythm, law, regulation, gauge, control
略;リャク;ほぼ,おか.す,おさ.める,はかりごと,はか.る,はぶ.く,りゃく.す,りゃく.する;abbreviation, omission, outline, shorten, capture, plunder
粒;リュウ;つぶ;grains, drop, counter for tiny particles
了;リョウ;;complete, finish
涼;リョウ;すず.しい,すず.む,すず.やか,うす.い,ひや.す,まことに;refreshing, nice and cool
療;リョウ;;heal, cure
量;リョウ;はか.る;quantity, measure, weight, amount, consider, estimate, surmise
領;リョウ;えり;jurisdiction, dominion, territory, fief, reign
緑;リョク,ロク;みどり;green
林;リン;はやし;grove, forest
輪;リン;わ;wheel, ring, circle, link, loop, counter for wheels and flowers
涙;ルイ,レイ;なみだ;tears, sympathy
令;レイ;;orders, ancient laws, command, decree
零;レイ;ぜろ,こぼ.す,こぼ.れる;zero, spill, overflow, nothing, cipher
齢;レイ;よわい,とし;age
歴;レキ,レッキ;;curriculum, continuation, passage of time
恋;レン;こ.う,こい,こい.しい;romance, in love, yearn for, miss, darling
練;レン;ね.る,ね.り;practice, gloss, train, drill, polish, refine
録;ロク;;record
湾;ワン;いりえ;gulf, bay, inlet
腕;ワン;うで;arm, ability, talent
愛;アイ;いと.しい,かな.しい,め.でる,お.しむ,まな;love, affection, favourite
暗;アン;くら.い,くら.む,くれ.る;darkness, disappear, shade, informal, grow dark, be blinded
位;イ;くらい,ぐらい;rank, grade, throne, crown, about, some
偉;イ;えら.い;admirable, greatness, remarkable, conceited, famous, excellent
易;エキ,イ;やさ.しい,やす.い;easy, ready to, simple, fortune-telling, divination
違;イ;ちが.う,ちが.い,ちが.える,-ちが.える,たが.う,たが.える;difference, differ
育;イク;そだ.つ,そだ.ち,そだ.てる,はぐく.む;bring up, grow up, raise, rear
因;イン;よ.る,ちな.む;cause, factor, be associated with, depend on, be limited to
引;イン;ひ.く,ひ.き,ひ.き-,-び.き,ひ.ける;pull, tug, jerk, admit, install, quote, refer to
泳;エイ;およ.ぐ;swim
越;エツ,オツ;こ.す,-こ.す,-ご.し,こ.える,-ご.え;surpass, cross over, move to, exceed, Vietnam
園;エン;その;park, garden, yard, farm
演;エン;;performance, act, play, render, stage
煙;エン;けむ.る,けむり,けむ.い;smoke
遠;エン,オン;とお.い;distant, far
押;オウ;お.す,お.し-,お.っ-,お.さえる,おさ.える;push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
横;オウ;よこ;sideways, side, horizontal, width, woof
王;オウ,-ノウ;;king, rule, magnate
化;カ,ケ;ば.ける,ば.かす,ふ.ける,け.する;change, take the form of, influence, enchant, delude, -ization
加;カ;くわ.える,くわ.わる;add, addition, increase, join, include, Canada
科;カ;;department, course, section
果;カ;は.たす,はた.す,-は.たす,は.てる,-は.てる,は.て;fruit, reward, carry out, achieve, complete, end, finish, succeed
過;カ;す.ぎる,-す.ぎる,-す.ぎ,す.ごす,あやま.つ,あやま.ち,よ.ぎる;overdo, exceed, go beyond, error
解;カイ,ゲ;と.く,と.かす,と.ける,ほど.く,ほど.ける,わか.る,さと.る;unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute
回;カイ,エ;まわ.る,-まわ.る,-まわ.り,まわ.す,-まわ.す,まわ.し-,-まわ.し,もとお.る,か.える;-times, round, game, revolve, counter for occurrences
皆;カイ;みな,みんな;all, everything
絵;カイ,エ;;picture, drawing, painting, sketch
害;ガイ;;harm, injury
格;カク,コウ,キャク,ゴウ;;status, rank, capacity, character, case (law, grammar)
確;カク,コウ;たし.か,たし.かめる;assurance, firm, tight, hard, solid, confirm, clear, evident
覚;カク;おぼ.える,さ.ます,さ.める,さと.る;memorize, learn, remember, awake, sober up
掛;カイ,ケイ;か.ける,-か.ける,か.け,-か.け,-が.け,か.かる,-か.かる,-が.かる,か.かり,-が.かり,かかり,-がかり;hang, suspend, depend, arrive at, tax, pour
割;カツ;わ.る,わり,わ.り,わ.れる,さ.く;proportion, comparatively, divide, cut, separate, split
活;カツ;い.きる,い.かす,い.ける;lively, resuscitation, being helped, living
寒;カン;さむ.い;cold
完;カン;;perfect, completion, end
官;カン;;bureaucrat, the government
感;カン;;emotion, feeling, sensation
慣;カン;な.れる,な.らす;accustomed, get used to, become experienced
観;カン;み.る,しめ.す;outlook, look, appearance, condition, view
関;カン;せき,-ぜき,かか.わる,からくり,かんぬき;connection, barrier, gateway, involve, concerning
顔;ガン;かお;face, expression
願;ガン;ねが.う,-ねがい;petition, request, vow, wish, hope
危;キ;あぶ.ない,あや.うい,あや.ぶむ;dangerous, fear, uneasy
喜;キ;よろこ.ぶ,よろこ.ばす;rejoice, take pleasure in
寄;キ;よ.る,-よ.り,よ.せる;draw near, stop in, bring near, gather, collect, send, forward
幾;キ;いく-,いく.つ,いく.ら;how many, how much, how far, how long
期;キ,ゴ;;period, time, date, term
機;キ;はた;mechanism, opportunity, occasion, machine, airplane
規;キ;;standard, measure
記;キ;しる.す;scribe, account, narrative
疑;ギ;うたが.う;doubt, distrust, be suspicious, question
議;ギ;;deliberation, consultation, debate, consideration
客;キャク,カク;;guest, visitor, customer, client
吸;キュウ;す.う;suck, imbibe, inhale, sip
